olympiad_name,prof_name,pred_name,yrov_name
"Всероссийская междисциплинарная олимпиада школьников 8 - 11 классов ""Национальная технологическая олимпиада""",наносистемы и химический инжиниринг,машиностроение,III
"Всероссийская междисциплинарная олимпиада школьников 8 - 11 классов ""Национальная технологическая олимпиада""",наносистемы и химический инжиниринг,управление в технических системах,III
"Всероссийская междисциплинарная олимпиада школьников 8 - 11 классов ""Национальная технологическая олимпиада""",наносистемы и химический инжиниринг,автоматизация и управление технологическими процессами и производствами,III
"Всероссийская междисциплинарная олимпиада школьников 8 - 11 классов ""Национальная технологическая олимпиада""",умные системы и технологии: умный город,компьютерные и информационные науки,III
"Всероссийская междисциплинарная олимпиада школьников 8 - 11 классов ""Национальная технологическая олимпиада""",умные системы и технологии: умный город,информатика и вычислительная техника,III
"Всероссийская междисциплинарная олимпиада школьников 8 - 11 классов ""Национальная технологическая олимпиада""",умные системы и технологии: умный город,информационная безопасность,III
"Всероссийская междисциплинарная олимпиада школьников 8 - 11 классов ""Национальная технологическая олимпиада""",умные системы и технологии: умный город,электроника,III
"Всероссийская междисциплинарная олимпиада школьников 8 - 11 классов ""Национальная технологическая олимпиада""",умные системы и технологии: умный город,радиотехника и системы связи,III
"Всероссийская междисциплинарная олимпиада школьников 8 - 11 классов ""Национальная технологическая олимпиада""",умные системы и технологии: умный город,фотоника,III
"Всероссийская междисциплинарная олимпиада школьников 8 - 11 классов ""Национальная технологическая олимпиада""",умные системы и технологии: умный город,приборостроение,III
"Всероссийская междисциплинарная олимпиада школьников 8 - 11 классов ""Национальная технологическая олимпиада""",умные системы и технологии: умный город,оптические и биотехнические системы и технологии,III
"Всероссийская междисциплинарная олимпиада школьников 8 - 11 классов ""Национальная технологическая олимпиада""",умные системы и технологии: умный город,управление в технических системах,III
"Всероссийская междисциплинарная олимпиада школьников 8 - 11 классов ""Национальная технологическая олимпиада""",умные системы и технологии: умный город,математика и механика,III
"Всероссийская междисциплинарная олимпиада школьников 8 - 11 классов ""Национальная технологическая олимпиада""",умные системы и технологии: умный город,техносферная безопасность и природообустройство,III
"Всероссийская междисциплинарная олимпиада школьников 8 - 11 классов ""Национальная технологическая олимпиада""",умные системы и технологии: умный город,технологии материалов,III
"Всероссийская междисциплинарная олимпиада школьников 8 - 11 классов ""Национальная технологическая олимпиада""",умные системы и технологии: умный город,нанотехнологии и наноматериалы,III
"Всероссийская междисциплинарная олимпиада школьников 8 - 11 классов ""Национальная технологическая олимпиада""",умные системы и технологии: умный город,образование и педагогические науки,III
"Всероссийская междисциплинарная олимпиада школьников 8 - 11 классов ""Национальная технологическая олимпиада""",цифровые сенсорные системы,компьютерные и информационные науки,III
"Всероссийская междисциплинарная олимпиада школьников 8 - 11 классов ""Национальная технологическая олимпиада""",цифровые сенсорные системы,информатика и вычислительная техника,III
"Всероссийская междисциплинарная олимпиада школьников 8 - 11 классов ""Национальная технологическая олимпиада""",цифровые сенсорные системы,информационная безопасность,III
"Всероссийская междисциплинарная олимпиада школьников 8 - 11 классов ""Национальная технологическая олимпиада""",цифровые сенсорные системы,электроника,III
"Всероссийская междисциплинарная олимпиада школьников 8 - 11 классов ""Национальная технологическая олимпиада""",цифровые сенсорные системы,радиотехника и системы связи,III
"Всероссийская междисциплинарная олимпиада школьников 8 - 11 классов ""Национальная технологическая олимпиада""",цифровые сенсорные системы,фотоника,III
"Всероссийская междисциплинарная олимпиада школьников 8 - 11 классов ""Национальная технологическая олимпиада""",цифровые сенсорные системы,приборостроение,III
"Всероссийская междисциплинарная олимпиада школьников 8 - 11 классов ""Национальная технологическая олимпиада""",цифровые сенсорные системы,оптические и биотехнические системы и технологии,III
"Всероссийская междисциплинарная олимпиада школьников 8 - 11 классов ""Национальная технологическая олимпиада""",цифровые сенсорные системы,управление в технических системах,III
"Всероссийская междисциплинарная олимпиада школьников 8 - 11 классов ""Национальная технологическая олимпиада""",цифровые сенсорные системы,математика и механика,III
"Всероссийская междисциплинарная олимпиада школьников 8 - 11 классов ""Национальная технологическая олимпиада""",цифровые сенсорные системы,техносферная безопасность и природообустройство,III
"Всероссийская междисциплинарная олимпиада школьников 8 - 11 классов ""Национальная технологическая олимпиада""",цифровые сенсорные системы,технологии материалов,III
"Всероссийская междисциплинарная олимпиада школьников 8 - 11 классов ""Национальная технологическая олимпиада""",цифровые сенсорные системы,нанотехнологии и наноматериалы,III
"Всероссийская междисциплинарная олимпиада школьников 8 - 11 классов ""Национальная технологическая олимпиада""",цифровые сенсорные системы,образование и педагогические науки,III
"Всероссийская междисциплинарная олимпиада школьников 8 - 11 классов ""Национальная технологическая олимпиада""",ядерные технологии,фотоника,II
"Всероссийская междисциплинарная олимпиада школьников 8 - 11 классов ""Национальная технологическая олимпиада""",ядерные технологии,приборостроение,II
"Всероссийская междисциплинарная олимпиада школьников 8 - 11 классов ""Национальная технологическая олимпиада""",ядерные технологии,оптические и биотехнические системы и технологии,II
"Всероссийская междисциплинарная олимпиада школьников 8 - 11 классов ""Национальная технологическая олимпиада""",ядерные технологии,ядерная энергетика и технологии,II
"Всероссийская междисциплинарная олимпиада школьников 8 - 11 классов ""Национальная технологическая олимпиада""",ядерные технологии,машиностроение,II
"Всероссийская междисциплинарная олимпиада школьников 8 - 11 классов ""Национальная технологическая олимпиада""",ядерные технологии,управление в технических системах,II
"Всероссийская олимпиада школьников ""Высшая проба""",биология,биология,II
"Всероссийская олимпиада школьников ""Высшая проба""",востоковедение,востоковедение и африканистика,II
"Всероссийская олимпиада школьников ""Высшая проба""",восточные языки,иностранный язык,I
"Всероссийская олимпиада школьников ""Высшая проба""",география,география,II
"Всероссийская олимпиада школьников ""Высшая проба""",дизайн,изобразительное и прикладные виды искусств,I
"Всероссийская олимпиада школьников ""Высшая проба""",журналистика,средства массовой информации и информационно-библиотечное дело,I
"Всероссийская олимпиада школьников ""Высшая проба""",инженерные науки,информационная безопасность,II
"Всероссийская олимпиада школьников ""Высшая проба""",инженерные науки,информатика и вычислительная техника,II
"Всероссийская олимпиада школьников ""Высшая проба""",иностранный язык,иностранный язык,I
"Всероссийская олимпиада школьников ""Высшая проба""",информатика,информатика,I
"Всероссийская олимпиада школьников ""Высшая проба""",история,история,I
"Всероссийская олимпиада школьников ""Высшая проба""",история искусств,искусствознание,II
"Всероссийская олимпиада школьников ""Высшая проба""",культурология,культуроведение и социокультурные проекты,I
"Всероссийская олимпиада школьников ""Высшая проба""",математика,математика,I
"Всероссийская олимпиада школьников ""Высшая проба""",международные отношения,политические науки и регионоведение,II
"Всероссийская олимпиада школьников ""Высшая проба""",обществознание,обществознание,I
"Всероссийская олимпиада школьников ""Высшая проба""",основы бизнеса,экономика и управление,II
"Всероссийская олимпиада школьников ""Высшая проба""",право,право,I
"Всероссийская олимпиада школьников ""Высшая проба""",промышленное программирование,компьютерные и информационные науки,II
"Всероссийская олимпиада школьников ""Высшая проба""",промышленное программирование,информатика и вычислительная техника,II
"Всероссийская олимпиада школьников ""Высшая проба""",психология,психологические науки,II
"Всероссийская олимпиада школьников ""Высшая проба""",русский язык,русский язык,II
"Всероссийская олимпиада школьников ""Высшая проба""",социология,социология и социальная работа,II
"Всероссийская олимпиада школьников ""Высшая проба""",физика,физика,II
"Всероссийская олимпиада школьников ""Высшая проба""",филология,языкознание и литературоведение,I
"Всероссийская олимпиада школьников ""Высшая проба""",филология,литература,I
"Всероссийская олимпиада школьников ""Высшая проба""",философия,философия,II
"Всероссийская олимпиада школьников ""Высшая проба""",философия,этика и религиоведение,II
"Всероссийская олимпиада школьников ""Высшая проба""",финансовая грамотность,экономика,I
"Всероссийская олимпиада школьников ""Высшая проба""",химия,химия,II
"Всероссийская олимпиада школьников ""Высшая проба""",экономика,экономика,I
"Всероссийская олимпиада школьников ""Миссия выполнима. Твое призвание - финансист!""",история,история,III
"Всероссийская олимпиада школьников ""Миссия выполнима. Твое призвание - финансист!""",обществознание,обществознание,III
"Всероссийская олимпиада школьников ""Миссия выполнима. Твое призвание - финансист!""",финансовая грамотность,экономика,II
"Всероссийская олимпиада школьников ""Миссия выполнима. Твое призвание - финансист!""",экономика,экономика,II
Всероссийская Сеченовская олимпиада школьников,химия,химия,II
Всероссийская Толстовская олимпиада школьников,литература,литература,III
Всероссийская Толстовская олимпиада школьников,обществознание,обществознание,III
Всероссийская Толстовская олимпиада школьников,право,обществознание,III
"Всероссийский конкурс научных работ школьников ""Юниор""",инженерные науки,фотоника,II
"Всероссийский конкурс научных работ школьников ""Юниор""",инженерные науки,приборостроение,II
"Всероссийский конкурс научных работ школьников ""Юниор""",инженерные науки,оптические и биотехнические системы и технологии,II
"Всероссийский конкурс научных работ школьников ""Юниор""",инженерные науки,ядерная энергетика и технологии,II
"Всероссийский конкурс научных работ школьников ""Юниор""",инженерные науки,физико-технические науки и технологии,II
"Всероссийский конкурс научных работ школьников ""Юниор""",инженерные науки,технологии материалов,II
"Всероссийский конкурс научных работ школьников ""Юниор""",инженерные науки,нанотехнологии и наноматериалы,II
"Всероссийский конкурс научных работ школьников ""Юниор""",инженерные науки,машиностроение,II
Всесибирская открытая олимпиада школьников,информатика,информатика,II
Всесибирская открытая олимпиада школьников,математика,математика,II
Всесибирская открытая олимпиада школьников,физика,физика,II
Всесибирская открытая олимпиада школьников,химия,химия,I
Герценовская олимпиада школьников,иностранный язык,иностранный язык,II
Международная музыкальная олимпиада,инструменты народного оркестра,музыкальное искусство,II
Международная музыкальная олимпиада,музыкальная педагогика и исполнительство,музыкальное искусство,III
Международная музыкальная олимпиада,струнные инструменты,музыкальное искусство,III
Международная музыкальная олимпиада,теория и история музыки,искусствознание,III
Международная музыкальная олимпиада,фортепиано,музыкальное искусство,III
Международная музыкальная олимпиада,хоровое дирижирование,музыкальное искусство,III
"Международная олимпиада ""Innopolis Open""",информационная безопасность,информатика,III
"Международная олимпиада ""Innopolis Open""",искусственный интеллект,информатика,III
"Международная олимпиада ""Innopolis Open""",математика,математика,II
"Международная олимпиада ""Innopolis Open""",робототехника,информатика,III
"Международная олимпиада школьников ""Искусство графики""",рисунок,изобразительное и прикладные виды искусств,I
"Международная олимпиада школьников Уральского федерального университета ""Изумруд""",история,история,III
"Международная олимпиада школьников Уральского федерального университета ""Изумруд""",математика,математика,III
"Международная олимпиада школьников Уральского федерального университета ""Изумруд""",обществознание,обществознание,III
"Международная олимпиада школьников Уральского федерального университета ""Изумруд""",русский язык,русский язык,III
"Международная олимпиада школьников Уральского федерального университета ""Изумруд""",физика,физика,III
"Международная олимпиада школьников Уральского федерального университета ""Изумруд""",химия,химия,III
"Межрегиональная олимпиада школьников ""Будущие исследователи - будущее науки""",история,история,II
"Межрегиональная олимпиада школьников ""Будущие исследователи - будущее науки""",математика,математика,III
"Межрегиональная олимпиада школьников ""Будущие исследователи - будущее науки""",русский язык,русский язык,II
"Межрегиональная олимпиада школьников ""Будущие исследователи - будущее науки""",физика,физика,III
"Межрегиональная олимпиада школьников ""Будущие исследователи - будущее науки""",химия,химия,II
Межрегиональная олимпиада школьников имени В.Е. Татлина,композиция,архитектура,I
Межрегиональная олимпиада школьников имени В.Е. Татлина,композиция,градостроительство,I
Межрегиональная олимпиада школьников имени В.Е. Татлина,композиция,дизайн,I
Межрегиональная олимпиада школьников имени В.Е. Татлина,рисунок,архитектура,I
Межрегиональная олимпиада школьников имени В.Е. Татлина,рисунок,градостроительство,I
Межрегиональная олимпиада школьников имени В.Е. Татлина,рисунок,дизайн,I
Межрегиональная олимпиада школьников имени И.Я. Верченко,математика,математика,II
Межрегиональная олимпиада школьников на базе ведомственных образовательных организаций,физика,физика,III
"Межрегиональные предметные олимпиады федерального государственного автономного образовательного учреждения высшего образования ""Казанский (Приволжский) федеральный университет""",иностранный язык,иностранный язык,II
"Межрегиональные предметные олимпиады федерального государственного автономного образовательного учреждения высшего образования ""Казанский (Приволжский) федеральный университет""",информатика,информатика,III
"Межрегиональные предметные олимпиады федерального государственного автономного образовательного учреждения высшего образования ""Казанский (Приволжский) федеральный университет""",история,история,III
"Межрегиональные предметные олимпиады федерального государственного автономного образовательного учреждения высшего образования ""Казанский (Приволжский) федеральный университет""",право,обществознание,III
"Межрегиональные предметные олимпиады федерального государственного автономного образовательного учреждения высшего образования ""Казанский (Приволжский) федеральный университет""",русский язык,русский язык,II
"Межрегиональные предметные олимпиады федерального государственного автономного образовательного учреждения высшего образования ""Казанский (Приволжский) федеральный университет""",физика,физика,III
"Межрегиональные предметные олимпиады федерального государственного автономного образовательного учреждения высшего образования ""Казанский (Приволжский) федеральный университет""",химия,химия,I
"Многопредметная олимпиада ""Юные таланты""",геология,науки о земле,III
"Многопредметная олимпиада ""Юные таланты""",химия,химия,I
"Многопрофильная инженерная олимпиада ""Звезда""",техника и технологии,технологии материалов,I
"Многопрофильная инженерная олимпиада ""Звезда""",техника и технологии,машиностроение,I
"Многопрофильная инженерная олимпиада ""Звезда""",техника и технологии,фотоника,I
"Многопрофильная инженерная олимпиада ""Звезда""",техника и технологии,приборостроение,I
"Многопрофильная инженерная олимпиада ""Звезда""",техника и технологии,оптические и биотехнические системы и технологии,I
"Многопрофильная инженерная олимпиада ""Звезда""",техника и технологии,авиационная и ракетно-космическая техника,I
"Многопрофильная инженерная олимпиада ""Звезда""",техника и технологии,техника и технологии наземного транспорта,I
"Многопрофильная инженерная олимпиада ""Звезда""",техника и технологии,техника и технологии кораблестроения и водного транспорта,I
"Многопрофильная инженерная олимпиада ""Звезда""",техника и технологии,биотехнология,I
"Многопрофильная инженерная олимпиада ""Звезда""",техника и технологии,информационная безопасность,I
"Многопрофильная инженерная олимпиада ""Звезда""",техника и технологии,химические технологии,I
Московская олимпиада школьников,вероятность и статистика,математика,II
Московская олимпиада школьников,генетика,биология,II
Московская олимпиада школьников,география,география,I
Московская олимпиада школьников,изобразительное искусство,искусство,II
Московская олимпиада школьников,информатика,информатика,I
Московская олимпиада школьников,история,история,II
Московская олимпиада школьников,история искусств,искусство,I
Московская олимпиада школьников,лингвистика,иностранный язык,I
Московская олимпиада школьников,математика,математика,I
Московская олимпиада школьников,обществознание,обществознание,II
Московская олимпиада школьников,право,право,III
Московская олимпиада школьников,предпрофессиональная,информационная безопасность,III
Московская олимпиада школьников,предпрофессиональная,информатика и вычислительная техника,III
Московская олимпиада школьников,предпрофессиональная,машиностроение,III
Московская олимпиада школьников,предпрофессиональная,промышленная экология и биотехнологии,III
Московская олимпиада школьников,предпрофессиональная,техносферная безопасность и природообустройство,III
Московская олимпиада школьников,предпрофессиональная,фотоника,III
Московская олимпиада школьников,предпрофессиональная,приборостроение,III
Московская олимпиада школьников,предпрофессиональная,оптические и биотехнические системы и технологии,III
Московская олимпиада школьников,предпрофессиональная,электроника,III
Московская олимпиада школьников,предпрофессиональная,радиотехника и системы связи,III
Московская олимпиада школьников,предпрофессиональная,ядерная энергетика и технологии,III
Московская олимпиада школьников,робототехника,машиностроение,II
Московская олимпиада школьников,робототехника,информатика и вычислительная техника,II
Московская олимпиада школьников,физика,физика,I
Московская олимпиада школьников,финансовая грамотность,экономика,III
Московская олимпиада школьников,химия,химия,I
Московская олимпиада школьников,экология,науки о земле,II
Московская олимпиада школьников,экономика,экономика,II
Объединенная межвузовская олимпиада школьников,физика,физика,III
Океан знаний,русский язык,русский язык,III
Олимпиада Курчатов,физика,физика,II
"Олимпиада по комплексу предметов ""Культура и искусство""",технический рисунок и декоративная композиция,декоративно-прикладное искусство и народные промыслы,I
"Олимпиада по комплексу предметов ""Культура и искусство""",технический рисунок и декоративная композиция,технология художественной обработки материалов,I
"Олимпиада по комплексу предметов ""Культура и искусство""",технический рисунок и декоративная композиция,искусство костюма и текстиля,I
"Олимпиада по комплексу предметов ""Культура и искусство""",технический рисунок и декоративная композиция,конструирование изделий легкой промышленности,I
"Олимпиада по комплексу предметов ""Культура и искусство""",технический рисунок и декоративная композиция,технологии и проектирование текстильных изделий,I
"Олимпиада по комплексу предметов ""Культура и искусство""",технический рисунок и декоративная композиция,технология изделий легкой промышленности,I
"Олимпиада по комплексу предметов ""Культура и искусство""",технический рисунок и декоративная композиция,информационные системы и технологии,I
"Олимпиада по комплексу предметов ""Культура и искусство""",технический рисунок и декоративная композиция,технология полиграфического и упаковочного производства,I
"Олимпиада по комплексу предметов ""Культура и искусство""",технический рисунок и декоративная композиция,прикладная информатика,I
"Олимпиада по комплексу предметов ""Культура и искусство""",технический рисунок и декоративная композиция,профессиональное обучение (по отраслям),I
Олимпиада РГГУ для школьников,история,история,II
Олимпиада РГГУ для школьников,литература,литература,I
Олимпиада РГГУ для школьников,обществознание,обществознание,II
Олимпиада РГГУ для школьников,русский язык,русский язык,II
"Олимпиада школьников ""Гранит науки""",информатика,информатика,II
"Олимпиада школьников ""Гранит науки""",химия,химия,III
"Олимпиада школьников ""Ломоносов""",высокие технологии,нанотехнологии и наноматериалы,I
"Олимпиада школьников ""Ломоносов""",генетика,биологические науки,II
"Олимпиада школьников ""Ломоносов""",география,география,I
"Олимпиада школьников ""Ломоносов""",геология,науки о земле,I
"Олимпиада школьников ""Ломоносов""",журналистика,средства массовой информации и информационно-библиотечное дело,I
"Олимпиада школьников ""Ломоносов""",иностранный язык,иностранный язык,I
"Олимпиада школьников ""Ломоносов""",информатика,информатика,II
"Олимпиада школьников ""Ломоносов""",история,история,I
"Олимпиада школьников ""Ломоносов""",космонавтика,математика и механика,II
"Олимпиада школьников ""Ломоносов""",литература,литература,I
"Олимпиада школьников ""Ломоносов""",математика,математика,I
"Олимпиада школьников ""Ломоносов""",международные отношения и глобалистика,история,I
"Олимпиада школьников ""Ломоносов""",механика и математическое моделирование,математика и механика,II
"Олимпиада школьников ""Ломоносов""",обществознание,обществознание,I
"Олимпиада школьников ""Ломоносов""",основы российской государственности,история,I
"Олимпиада школьников ""Ломоносов""",основы российской государственности,обществознание,I
"Олимпиада школьников ""Ломоносов""",политология,история,II
"Олимпиада школьников ""Ломоносов""",право,юриспруденция,I
"Олимпиада школьников ""Ломоносов""",психология,психологические науки,I
"Олимпиада школьников ""Ломоносов""",религиоведение,философия,II
"Олимпиада школьников ""Ломоносов""",религиоведение,этика и религиоведение,II
"Олимпиада школьников ""Ломоносов""",русский язык,русский язык,I
"Олимпиада школьников ""Ломоносов""",физика,физика,I
"Олимпиада школьников ""Ломоносов""",философия,философия,I
"Олимпиада школьников ""Ломоносов""",философия,этика и религиоведение,I
"Олимпиада школьников ""Ломоносов""",химия,химия,I
"Олимпиада школьников ""Ломоносов""",экология,биологические науки,II
"Олимпиада школьников ""Ломоносов""",экология,науки о земле,II
"Олимпиада школьников ""Покори Воробьевы горы!""",журналистика,средства массовой информации и информационно-библиотечное дело,I
"Олимпиада школьников ""Покори Воробьевы горы!""",иностранный язык,иностранный язык,I
"Олимпиада школьников ""Покори Воробьевы горы!""",история,история,I
"Олимпиада школьников ""Покори Воробьевы горы!""",литература,литература,I
"Олимпиада школьников ""Покори Воробьевы горы!""",математика,математика,I
"Олимпиада школьников ""Покори Воробьевы горы!""",обществознание,обществознание,I
"Олимпиада школьников ""Покори Воробьевы горы!""",физика,физика,I
"Олимпиада школьников ""Физтех""",инженерное дело,физика,II
"Олимпиада школьников ""Физтех""",информатика и программирование,информатика,III
"Олимпиада школьников ""Физтех""",математика,математика,II
"Олимпиада школьников ""Физтех""",научно-технический,математика,II
"Олимпиада школьников ""Физтех""",научно-технический,физика,II
"Олимпиада школьников ""Физтех""",физика,физика,I
"Олимпиада школьников ""Физтех""",химия,химия,III
"Олимпиада школьников ""Шаг в будущее""",информатика,информатика и вычислительная техника,III
"Олимпиада школьников ""Шаг в будущее""",математика,математика,III
"Олимпиада школьников ""Шаг в будущее""",компьютерное моделирование и графика,электроника,III
"Олимпиада школьников ""Шаг в будущее""",компьютерное моделирование и графика,радиотехника и системы связи,III
"Олимпиада школьников ""Шаг в будущее""",компьютерное моделирование и графика,фотоника,III
"Олимпиада школьников ""Шаг в будущее""",компьютерное моделирование и графика,приборостроение,III
"Олимпиада школьников ""Шаг в будущее""",компьютерное моделирование и графика,оптические и биотехнические системы и технологии,III
"Олимпиада школьников ""Шаг в будущее""",компьютерное моделирование и графика,электро- и теплоэнергетика,III
"Олимпиада школьников ""Шаг в будущее""",компьютерное моделирование и графика,ядерная энергетика и технологии,III
"Олимпиада школьников ""Шаг в будущее""",компьютерное моделирование и графика,машиностроение,III
"Олимпиада школьников ""Шаг в будущее""",компьютерное моделирование и графика,физико-технические науки и технологии,III
"Олимпиада школьников ""Шаг в будущее""",компьютерное моделирование и графика,оружие и системы вооружения,III
"Олимпиада школьников ""Шаг в будущее""",компьютерное моделирование и графика,техносферная безопасность и природообустройство,III
"Олимпиада школьников ""Шаг в будущее""",компьютерное моделирование и графика,технологии материалов,III
"Олимпиада школьников ""Шаг в будущее""",компьютерное моделирование и графика,техника и технологии наземного транспорта,III
"Олимпиада школьников ""Шаг в будущее""",компьютерное моделирование и графика,авиационная и ракетно-космическая техника,III
"Олимпиада школьников ""Шаг в будущее""",компьютерное моделирование и графика,управление в технических системах,III
"Олимпиада школьников ""Шаг в будущее""",компьютерное моделирование и графика,нанотехнологии и наноматериалы,III
"Олимпиада школьников ""Шаг в будущее""",физика,физика,II
"Олимпиада школьников ""Шаг в будущее""",химия,химия,III
Олимпиада школьников Российской академии народного хозяйства и государственной службы при Президенте Российской Федерации,иностранный язык,иностранный язык,III
Олимпиада школьников Российской академии народного хозяйства и государственной службы при Президенте Российской Федерации,история,история,II
Олимпиада школьников Российской академии народного хозяйства и государственной службы при Президенте Российской Федерации,обществознание,обществознание,II
Олимпиада школьников Российской академии народного хозяйства и государственной службы при Президенте Российской Федерации,политология,политология,III
Олимпиада школьников Российской академии народного хозяйства и государственной службы при Президенте Российской Федерации,финансовая грамотность,экономика,III
Олимпиада школьников Российской академии народного хозяйства и государственной службы при Президенте Российской Федерации,экономика,экономика,III
Олимпиада школьников Санкт-Петербургского государственного университета,география,география,I
Олимпиада школьников Санкт-Петербургского государственного университета,гуманитарные и социальные науки,обществознание,II
Олимпиада школьников Санкт-Петербургского государственного университета,гуманитарные и социальные науки,история,II
Олимпиада школьников Санкт-Петербургского государственного университета,журналистика,средства массовой информации и информационно-библиотечное дело,I
Олимпиада школьников Санкт-Петербургского государственного университета,инженерные системы,математика,III
Олимпиада школьников Санкт-Петербургского государственного университета,инженерные системы,астрономия,III
Олимпиада школьников Санкт-Петербургского государственного университета,инженерные системы,химия,III
Олимпиада школьников Санкт-Петербургского государственного университета,инженерные системы,управление в технических системах,III
Олимпиада школьников Санкт-Петербургского государственного университета,иностранный язык,иностранный язык,I
Олимпиада школьников Санкт-Петербургского государственного университета,информатика,информатика,I
Олимпиада школьников Санкт-Петербургского государственного университета,история,история,I
Олимпиада школьников Санкт-Петербургского государственного университета,математика,математика,I
Олимпиада школьников Санкт-Петербургского государственного университета,математическое моделирование и искусственный интеллект,математика и механика,III
Олимпиада школьников Санкт-Петербургского государственного университета,математическое моделирование и искусственный интеллект,информатика и вычислительная техника,III
Олимпиада школьников Санкт-Петербургского государственного университета,медицина,клиническая медицина,II
Олимпиада школьников Санкт-Петербургского государственного университета,медицина,фармация,II
Олимпиада школьников Санкт-Петербургского государственного университета,медицина,сестринское дело,II
Олимпиада школьников Санкт-Петербургского государственного университета,международные отношения,политические науки и регионоведение,II
Олимпиада школьников Санкт-Петербургского государственного университета,обществознание,обществознание,I
Олимпиада школьников Санкт-Петербургского государственного университета,политология,политические науки и регионоведение,II
Олимпиада школьников Санкт-Петербургского государственного университета,право,право,I
Олимпиада школьников Санкт-Петербургского государственного университета,психология,психологические науки,III
Олимпиада школьников Санкт-Петербургского государственного университета,физика,физика,II
Олимпиада школьников Санкт-Петербургского государственного университета,филология,иностранный язык,I
Олимпиада школьников Санкт-Петербургского государственного университета,филология,литература,I
Олимпиада школьников Санкт-Петербургского государственного университета,филология,русский язык,I
Олимпиада школьников Санкт-Петербургского государственного университета,философия,философия,II
Олимпиада школьников Санкт-Петербургского государственного университета,философия,этика и религиоведение,II
Олимпиада школьников Санкт-Петербургского государственного университета,философия,теология,II
Олимпиада школьников Санкт-Петербургского государственного университета,философия,психологические науки,II
Олимпиада школьников Санкт-Петербургского государственного университета,химия,химия,II
Олимпиада школьников Санкт-Петербургского государственного университета,экономика,экономика,II
"Открытая межвузовская олимпиада школьников Сибирского федерального округа ""Будущее Сибири""",химия,химия,II
Открытая олимпиада школьников,математика,математика,III
Открытая олимпиада школьников,физика,физика,III
Открытая региональная межвузовская олимпиада школьников (ОРМО) с международным участием,история,история,III
Открытая региональная межвузовская олимпиада школьников (ОРМО) с международным участием,литература,литература,II
Открытая региональная межвузовская олимпиада школьников (ОРМО) с международным участием,русский язык,русский язык,II
Открытая региональная межвузовская олимпиада школьников (ОРМО) с международным участием,физика,физика,III
Открытая региональная межвузовская олимпиада школьников (ОРМО) с международным участием,химия,химия,III
"Отраслевая олимпиада школьников ""Газпром""",информационные и коммуникационные технологии,информатика,III
"Отраслевая физико-математическая олимпиада школьников ""Росатом""",математика,математика,II
"Отраслевая физико-математическая олимпиада школьников ""Росатом""",физика,физика,I
Пироговская олимпиада для школьников по химии и биологии,химия,химия,III
Плехановская олимпиада школьников,русский язык,русский язык,II
Плехановская олимпиада школьников,экономика,обществознание,III
Региональный конкурс школьников Челябинского университетского образовательного округа,обществознание,обществознание,III
Санкт-Петербургская олимпиада школьников,химия,химия,I
Северо-Восточная олимпиада школьников,филология,русский язык,III
Северо-Восточная олимпиада школьников,филология,литература,III
Турнир имени М.В. Ломоносова,история,история,II
Турнир имени М.В. Ломоносова,лингвистика,русский язык,II
Турнир имени М.В. Ломоносова,лингвистика,иностранный язык,II
Турнир имени М.В. Ломоносова,лингвистика,математика,II
Турнир имени М.В. Ломоносова,литература,литература,II
Турнир имени М.В. Ломоносова,математика,математика,II
Турнир имени М.В. Ломоносова,физика,физика,II
Турнир имени М.В. Ломоносова,химия,химия,II
"Университетская олимпиада школьников ""Бельчонок""",математика,математика,III
"Университетская олимпиада школьников ""Бельчонок""",физика,физика,III
"Университетская олимпиада школьников ""Бельчонок""",химия,химия,II
