olympiad_name,prof_name,pred_name,yrov_name
"Всероссийская междисциплинарная олимпиада школьников 8 - 11 классов ""Национальная технологическая олимпиада""",космические системы: анализ космических снимков и геопространственных данных,электроника,II
"Всероссийская междисциплинарная олимпиада школьников 8 - 11 классов ""Национальная технологическая олимпиада""",космические системы: анализ космических снимков и геопространственных данных,радиотехника и системы связи,II
"Всероссийская междисциплинарная олимпиада школьников 8 - 11 классов ""Национальная технологическая олимпиада""",космические системы: анализ космических снимков и геопространственных данных,физико-технические науки и технологии,II
"Всероссийская междисциплинарная олимпиада школьников 8 - 11 классов ""Национальная технологическая олимпиада""",космические системы: анализ космических снимков и геопространственных данных,управление в технических системах,II
"Всероссийская междисциплинарная олимпиада школьников 8 - 11 классов ""Национальная технологическая олимпиада""",космические системы: анализ космических снимков и геопространственных данных,науки о земле,II
"Всероссийская междисциплинарная олимпиада школьников 8 - 11 классов ""Национальная технологическая олимпиада""",космические системы: анализ космических снимков и геопространственных данных,техносферная безопасность и природообустройство,II
"Всероссийская междисциплинарная олимпиада школьников 8 - 11 классов ""Национальная технологическая олимпиада""",космические системы: анализ космических снимков и геопространственных данных,фотоника,II
"Всероссийская междисциплинарная олимпиада школьников 8 - 11 классов ""Национальная технологическая олимпиада""",космические системы: анализ космических снимков и геопространственных данных,приборостроение,II
"Всероссийская междисциплинарная олимпиада школьников 8 - 11 классов ""Национальная технологическая олимпиада""",космические системы: анализ космических снимков и геопространственных данных,оптические и биотехнические системы и технологии,II
"Всероссийская междисциплинарная олимпиада школьников 8 - 11 классов ""Национальная технологическая олимпиада""",космические системы: анализ космических снимков и геопространственных данных,машиностроение,II
"Всероссийская междисциплинарная олимпиада школьников 8 - 11 классов ""Национальная технологическая олимпиада""",спутниковые системы,информатика и вычислительная техника,II
"Всероссийская междисциплинарная олимпиада школьников 8 - 11 классов ""Национальная технологическая олимпиада""",спутниковые системы,электроника,II
"Всероссийская междисциплинарная олимпиада школьников 8 - 11 классов ""Национальная технологическая олимпиада""",спутниковые системы,радиотехника и системы связи,II
"Всероссийская междисциплинарная олимпиада школьников 8 - 11 классов ""Национальная технологическая олимпиада""",спутниковые системы,физико-технические науки и технологии,II
"Всероссийская междисциплинарная олимпиада школьников 8 - 11 классов ""Национальная технологическая олимпиада""",спутниковые системы,управление в технических системах,II
"Всероссийская междисциплинарная олимпиада школьников 8 - 11 классов ""Национальная технологическая олимпиада""",спутниковые системы,науки о земле,II
"Всероссийская междисциплинарная олимпиада школьников 8 - 11 классов ""Национальная технологическая олимпиада""",спутниковые системы,техносферная безопасность и природообустройство,II
"Всероссийская междисциплинарная олимпиада школьников 8 - 11 классов ""Национальная технологическая олимпиада""",спутниковые системы,фотоника,II
"Всероссийская междисциплинарная олимпиада школьников 8 - 11 классов ""Национальная технологическая олимпиада""",спутниковые системы,приборостроение,II
"Всероссийская междисциплинарная олимпиада школьников 8 - 11 классов ""Национальная технологическая олимпиада""",спутниковые системы,оптические и биотехнические системы и технологии,II
"Всероссийская междисциплинарная олимпиада школьников 8 - 11 классов ""Национальная технологическая олимпиада""",спутниковые системы,машиностроение,II
"Всероссийская междисциплинарная олимпиада школьников 8 - 11 классов ""Национальная технологическая олимпиада""",нейротехнологии и когнитивные науки,компьютерные и информационные науки,III
"Всероссийская междисциплинарная олимпиада школьников 8 - 11 классов ""Национальная технологическая олимпиада""",нейротехнологии и когнитивные науки,биологические науки,III
"Всероссийская междисциплинарная олимпиада школьников 8 - 11 классов ""Национальная технологическая олимпиада""",нейротехнологии и когнитивные науки,информатика и вычислительная техника,III
"Всероссийская междисциплинарная олимпиада школьников 8 - 11 классов ""Национальная технологическая олимпиада""",программная инженерия в финансовых технологиях,математика и механика,III
"Всероссийская междисциплинарная олимпиада школьников 8 - 11 классов ""Национальная технологическая олимпиада""",программная инженерия в финансовых технологиях,компьютерные и информационные науки,III
"Всероссийская междисциплинарная олимпиада школьников 8 - 11 классов ""Национальная технологическая олимпиада""",программная инженерия в финансовых технологиях,информатика и вычислительная техника,III
"Всероссийская междисциплинарная олимпиада школьников 8 - 11 классов ""Национальная технологическая олимпиада""",программная инженерия в финансовых технологиях,информационная безопасность,III
"Всероссийская междисциплинарная олимпиада школьников 8 - 11 классов ""Национальная технологическая олимпиада""",программная инженерия в финансовых технологиях,электроника,III
